Date,INFY_Close,INFY_Volume,WIPRO_Close,WIPRO_Volume,HCLTECH_Close,HCLTECH_Volume,TCS_Close,TCS_Volume,INFY_Return,WIPRO_Return,HCLTECH_Return,TCS_Return,Tech_Sector_Return,INFY_Cumulative,WIPRO_Cumulative,HCLTECH_Cumulative,TCS_Cumulative,Tech_Sector_Cumulative,INFY_Volatility,WIPRO_Volatility,HCLTECH_Volatility,TCS_Volatility,Tech_Sector_Volatility,Tech_Sector_Volume
2020-10-06,1055.75,9090819,330.05,27579966,829.15,7848520,2714.3,9846376,0.006722608944407238,-0.011678394969306671,0.006005823829167589,0.003141399955650881,0.0010478594399797592,0.687762613595649,0.5840042466601743,2.604932453660056,2.7474062452553243,2.9080946929912352,0.3270347355457206,0.4300850024185188,0.35144503992481874,0.2971582041443532,0.28585902896390497,13591420.25
2020-10-07,1066.55,9284060,335.3,17739988,828.05,6980002,2735.95,9656167,0.010229694529954925,0.01590668080593849,-0.0013266598323584677,0.007976273809085166,0.008196497328155028,0.694798215041856,0.5932938158011102,2.601476594407778,2.7693203097322714,2.9319308833723596,0.32390063062708696,0.42885190508204385,0.3481181153572335,0.29260749971936695,0.2820752126338594,10915054.25
2020-10-08,1093.7,21483024,359.45,107270570,849.55,25860578,2825.7,19839826,0.025455909240073238,0.07202505219206667,0.025964615663305324,0.03280396206071012,0.03906238478903884,0.7124849353441264,0.6360258338494156,2.6690229343386602,2.860164988106683,3.046459095713517,0.3055669877004932,0.3015258525942595,0.3432523351525127,0.2942655998302368,0.2530627565872965,43613499.5
2020-10-09,1106.8,10567955,374.0,55431052,855.75,7286954,2812.95,7739375,0.011977690408704333,0.04047850883293935,0.007297981284209332,-0.004512156279859902,0.013810506061498279,0.7210188593205441,0.6617712111828667,2.6885014137605894,2.8472594766941617,3.0885322375209756,0.23931976319310727,0.3093788397199095,0.3418898364473577,0.2946996260837314,0.24899930721882152,20256334.0
2020-10-12,1132.1,14633780,377.5,52966063,865.8,8717565,2830.0,4623211,0.022858691723888658,0.009358288770053402,0.01174408413672201,0.006061252421834862,0.012505579263124733,0.7375004071528622,0.667964257276824,2.7200754005654897,2.8645174350928664,3.1271561222240103,0.241276300872154,0.30896647606976835,0.3410907779306934,0.29198490228957696,0.24799541579723228,20235154.75
2020-10-13,1157.8,17524137,375.95,36092383,900.4,18948688,2826.55,4209905,0.022701174807879143,-0.004105960264900732,0.03996303996303996,-0.0012190812720846989,0.014334793308483418,0.7542425328165214,0.6652216225780714,2.8287778825007703,2.8610253555341845,3.17198325887945,0.2360421388566649,0.30333100944814917,0.3407092065071639,0.2922012918823646,0.243869576170703,19193778.25
2020-10-14,1137.0,16649731,350.45,74138275,890.45,15441223,2809.6,4395979,-0.0179651062359647,-0.06782816863944674,-0.011050644158151823,-0.005996709769860886,-0.025710157200856038,0.7406924855867896,0.6201008581792395,2.7975180647188043,2.843868616832833,3.0904310706551756,0.24017434313450314,0.3386322067681644,0.34243439506654816,0.29286240014264103,0.2517774583849244,27656302.0
2020-10-15,1108.25,44288566,341.6,38961585,860.0,15648849,2740.6,6629395,-0.025285839929639398,-0.025253245826794002,-0.034196192936155945,-0.02455865603644647,-0.027323483682258953,0.7219634539591553,0.6044412987702333,2.7018535972352984,2.7740270256591906,3.005989727724983,0.24255057644790373,0.3405079644993952,0.351521435584491,0.29606664860131965,0.2571456525555972,26382098.75
2020-10-16,1127.5,18366133,339.65,25245262,827.15,28983265,2763.3,5273773,0.017369727047146455,-0.00570843091334905,-0.038197674418604666,0.00828285776837201,-0.004563380129108813,0.734503762092441,0.6009908873750285,2.5986490732013685,2.7970038969583455,2.9922722539331774,0.24243601550817456,0.34111300675607853,0.362454803155194,0.2949625500504887,0.25730674393767505,19467108.25
2020-10-19,1125.9,12902146,343.2,12848026,844.75,15671737,2711.55,3331194,-0.0014190687361418375,0.010451935816281566,0.021277881883576155,-0.018727608294430542,0.0028957851673213353,0.733461450767077,0.6072724055560423,2.6539428212378118,2.7446227035781137,3.000937231542704,0.24120347714894533,0.34065360114857257,0.35587171753365976,0.2979274774565153,0.2559934078698782,11188275.75
